Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
cybersecurity,4400,5400,5400,4400,4400,4400,4400,5400,8100,5400,6600,9900,9900,9900,9900,8100,8100,8100,9900,9900,12100,12100,14800,14800
dairy products,6600,8100,8100,6600,5400,4400,4400,6600,8100,8100,6600,8100,8100,9900,9900,8100,6600,6600,6600,8100,9900,9900,8100,9900
data processing,1600,1600,1600,1600,1600,1600,1600,1900,1900,1600,1300,1900,1900,1900,1900,1900,1600,1600,1900,1900,1900,1600,1600,1900
database software,5400,6600,5400,5400,4400,4400,4400,6600,6600,5400,5400,8100,8100,8100,6600,5400,5400,5400,6600,6600,6600,5400,5400,6600
defense,18100,18100,18100,18100,14800,18100,18100,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100,27100,40500,40500,40500,40500,40500
department stores,22200,27100,22200,22200,18100,18100,18100,22200,22200,27100,27100,22200,22200,22200,22200,22200,18100,18100,22200,22200,22200,27100,33100,22200
design,49500,49500,49500,49500,40500,40500,49500,60500,60500,49500,49500,60500,60500,60500,60500,60500,49500,49500,60500,74000,74000,74000,60500,74000
desktop computers,49500,49500,49500,40500,33100,40500,49500,49500,49500,74000,74000,74000,60500,60500,49500,40500,49500,60500,74000,60500,33100,40500,49500,49500
diagnostic equipment,140,140,110,140,90,140,110,140,140,90,110,90,110,140,90,110,140,90,110,110,110,210,90,140
diamonds,74000,74000,74000,74000,60500,60500,60500,60500,74000,74000,90500,74000,74000,74000,74000,74000,60500,60500,60500,74000,74000,74000,74000,74000
digital media,9900,9900,8100,8100,6600,6600,8100,9900,9900,8100,8100,9900,8100,9900,9900,8100,6600,6600,9900,9900,9900,9900,8100,9900
digital publishing,1000,1300,1300,1000,1300,1300,1000,1000,1300,1000,880,1000,880,1000,880,880,880,880,880,880,1000,880,720,1000
direct marketing,6600,8100,9900,8100,6600,6600,6600,6600,8100,8100,8100,6600,6600,8100,9900,8100,6600,6600,6600,6600,8100,9900,8100,6600
discount stores,3600,4400,4400,4400,3600,3600,3600,3600,3600,4400,4400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,4400,4400,3600
display screens,70,70,90,70,70,70,90,90,110,70,90,50,210,70,90,70,90,70,70,90,110,90,90,90
distilleries,590,590,590,480,590,590,480,720,720,590,590,590,590,720,720,720,720,720,720,720,880,720,720,880
doctor's office,3600,3600,4400,4400,4400,4400,5400,5400,5400,4400,4400,6600,5400,6600,6600,6600,6600,5400,6600,6600,6600,5400,4400,4400
document management,2400,2400,2400,2400,2900,2900,2400,2900,2900,2400,1900,2400,2900,2900,2900,2400,2900,2400,2400,2400,2400,1900,1900,2400
dolls,22200,27100,22200,22200,22200,27100,27100,27100,40500,40500,49500,33100,27100,27100,27100,27100,27100,33100,40500,40500,49500,60500,60500,40500
Drilling,2400,2400,2400,2900,2400,1900,2400,2900,2900,2900,2900,2900,2400,2900,4400,3600,2900,2900,4400,3600,4400,2900,2900,4400
drug retailers,10,10,20,10,10,10,10,20,10,20,10,10,10,10,10,10,20,10,10,10,30,20,20,20
ebooks,74000,74000,60500,60500,49500,49500,74000,74000,60500,49500,49500,74000,60500,49500,49500,49500,40500,40500,60500,60500,49500,49500,49500,74000
ecommerce,18100,18100,18100,18100,18100,18100,18100,22200,22200,18100,18100,22200,18100,22200,22200,18100,18100,18100,18100,18100,22200,18100,18100,22200
education,90500,90500,90500,90500,49500,40500,49500,90500,90500,90500,74000,90500,90500,90500,90500,90500,60500,49500,60500,90500,110000,110000,90500,110000
electric utilities,210,260,260,260,260,260,260,260,260,260,210,210,260,320,260,260,260,260,320,320,320,260,210,260
electric vehicles,8100,8100,8100,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,8100,8100,6600,6600,6600
electrical components,720,720,720,590,590,590,590,590,720,720,720,1000,1300,1300,1300,1300,1300,1300,1300,1600,1600,1300,1300,1600
electronic components,4400,5400,5400,4400,4400,4400,4400,4400,5400,4400,5400,4400,4400,5400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
elevators,4400,5400,5400,4400,4400,4400,4400,5400,5400,4400,4400,5400,4400,5400,4400,5400,4400,5400,5400,5400,5400,4400,4400,5400
emergency services,2400,2400,1900,1900,1600,1600,1600,1900,1900,1900,1900,1900,1900,1900,1900,1900,2400,2400,1600,1900,1900,1900,1600,2400
energy drinks,18100,22200,22200,18100,14800,14800,12100,18100,22200,18100,14800,18100,18100,22200,22200,18100,14800,14800,14800,18100,18100,18100,14800,18100
engineering,90500,90500,90500,74000,60500,49500,74000,110000,90500,90500,74000,90500,90500,90500,90500,90500,60500,60500,90500,110000,110000,90500,90500,110000
engines,6600,8100,6600,6600,5400,6600,6600,6600,6600,6600,5400,6600,6600,6600,6600,6600,5400,5400,5400,6600,6600,6600,5400,6600
enterprise software,2400,2400,2400,2400,2400,2400,2400,2400,2900,2400,1900,2400,2400,2900,2400,2400,2400,2400,2900,2900,2900,2400,2400,2900
environmental services,2900,3600,2900,2900,2900,2900,2900,3600,3600,2900,2900,3600,3600,3600,3600,3600,3600,4400,4400,4400,3600,3600,3600,4400
equipment rental,22200,33100,40500,40500,40500,33100,33100,33100,33100,27100,22200,27100,27100,49500,49500,49500,40500,49500,49500,49500,49500,33100,33100,33100
etfs,8100,8100,6600,6600,6600,6600,6600,6600,8100,6600,8100,9900,9900,9900,9900,8100,8100,8100,9900,8100,8100,6600,8100,9900
Ethanol,90500,90500,90500,74000,49500,49500,49500,90500,110000,90500,74000,74000,110000,90500,110000,74000,60500,49500,49500,90500,110000,110000,90500,90500
event management,3600,3600,3600,2900,2900,2900,2900,3600,3600,2900,2900,3600,3600,3600,3600,3600,3600,3600,2900,3600,4400,3600,3600,4400
exchange traded funds,6600,6600,5400,5400,4400,4400,4400,5400,5400,5400,5400,5400,5400,6600,6600,5400,5400,5400,6600,5400,5400,4400,5400,6600
executive search,1600,1900,1600,1600,1600,1300,1600,1600,1900,1300,1300,1900,1600,1900,1600,1600,1900,1900,1900,1900,1900,1900,1900,2400
explosives,2900,2900,2900,2900,2400,2900,2400,2900,2900,2900,2900,4400,2900,3600,2900,2900,2400,2900,2400,2400,2400,2900,2900,2900
eyewear,6600,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,8100,8100,8100,8100,8100,8100,9900,8100,8100,8100,8100,9900
fabric dyeing,210,260,260,210,210,210,210,260,260,210,170,210,170,260,260,320,210,260,260,260,320,260,260,210
fair trade,14800,18100,18100,14800,9900,9900,9900,12100,14800,18100,14800,14800,18100,18100,18100,14800,9900,9900,9900,12100,18100,18100,14800,12100
farming,12100,14800,14800,14800,8100,8100,9900,18100,18100,14800,12100,14800,12100,14800,14800,14800,9900,8100,14800,22200,22200,22200,22200,22200
fashion,110000,110000,90500,90500,90500,90500,90500,110000,90500,90500,90500,110000,90500,90500,90500,90500,74000,74000,90500,90500,90500,90500,90500,110000
