Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
TRAVELZOO,368000,368000,368000,368000,368000,368000,301000,301000,246000,246000,246000,368000,301000,368000,301000,301000,301000,301000,301000,246000,246000,246000,246000,301000
VIVUS,4400,3600,4400,4400,3600,2900,3600,4400,2900,2900,2400,3600,2900,3600,2900,2900,2400,2900,2900,4400,3600,2400,2400,2400
TILLYS,201000,246000,246000,246000,246000,368000,368000,201000,246000,368000,450000,246000,246000,301000,246000,301000,301000,368000,450000,246000,246000,450000,450000,368000
WEST MARINE,165000,246000,301000,368000,450000,368000,301000,201000,165000,165000,201000,165000,165000,246000,301000,368000,450000,450000,368000,246000,201000,201000,246000,165000
CARE COM,301000,301000,301000,368000,301000,368000,368000,301000,246000,201000,165000,246000,201000,246000,201000,246000,246000,246000,246000,246000,201000,165000,165000,246000
SKULLCANDY,90500,90500,90500,90500,74000,74000,74000,90500,110000,135000,165000,110000,90500,90500,90500,74000,74000,74000,74000,74000,90500,110000,135000,90500
FOGO DE CHAO,201000,165000,135000,165000,135000,135000,135000,135000,135000,135000,201000,201000,201000,201000,201000,165000,201000,201000,201000,165000,165000,201000,246000,246000
CDI,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,22200,22200,22200,27100,27100,22200,27100,27100,27100,27100,27100,22200,22200,22200
QUANTUM,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,40500,40500,40500,49500,49500,40500,40500
EL POLLO LOCO,110000,135000,135000,135000,135000,201000,165000,165000,165000,135000,165000,165000,165000,201000,201000,165000,165000,201000,201000,165000,165000,165000,165000,201000
BLACK DIAMOND,74000,60500,60500,60500,60500,60500,60500,60500,60500,90500,90500,90500,74000,74000,74000,60500,60500,60500,74000,74000,74000,90500,110000,90500
