Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
NEWS,9140000,11100000,11100000,9140000,9140000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,13600000,13600000,13600000
GROUPON,3350000,4090000,3350000,4090000,4090000,4090000,4090000,4090000,4090000,4090000,5000000,4090000,4090000,5000000,4090000,5000000,5000000,5000000,5000000,4090000,4090000,5000000,6120000,5000000
GAMESTOP,5000000,5000000,4090000,4090000,5000000,5000000,5000000,5000000,5000000,7480000,9140000,5000000,5000000,5000000,5000000,4090000,6120000,6120000,6120000,5000000,5000000,9140000,11100000,6120000
DICKS SPORTING GOODS,368000,2740000,3350000,3350000,4090000,4090000,5000000,3350000,3350000,6120000,7480000,4090000,3350000,4090000,4090000,4090000,4090000,5000000,5000000,4090000,3350000,6120000,7480000,4090000
SPRINT,3350000,4090000,3350000,3350000,3350000,3350000,4090000,6120000,5000000,4090000,5000000,4090000,3350000,4090000,3350000,4090000,4090000,4090000,4090000,4090000,4090000,3350000,4090000,3350000
URBAN OUTFITTERS,1830000,2240000,1830000,1830000,1830000,2240000,2240000,2240000,1830000,2240000,2740000,2240000,1830000,2240000,1830000,1830000,2240000,2240000,2240000,2240000,2240000,2740000,2740000,2240000
OFFICE DEPOT,2740000,2240000,2240000,2240000,2240000,2740000,3350000,2740000,2240000,2740000,2240000,2740000,2240000,2240000,2240000,2240000,2240000,2740000,3350000,2240000,2240000,2240000,2240000,2740000
AMERICAN EAGLE,1830000,2240000,1830000,1830000,1830000,2240000,2740000,1830000,2240000,3350000,3350000,2240000,1830000,2240000,1830000,2240000,1830000,2740000,2740000,2240000,2740000,5000000,4090000,2740000
CABELAS,2240000,2240000,2240000,1830000,1830000,2240000,2240000,2240000,2740000,4090000,5000000,2740000,2240000,2240000,2240000,1830000,2240000,2240000,2240000,2240000,2740000,4090000,5000000,2740000
SPIRIT AIRLINES,2240000,2240000,1830000,2240000,2240000,2240000,2240000,2240000,2240000,2240000,2240000,2740000,2740000,3350000,2740000,2240000,2740000,2740000,2740000,2240000,2240000,2240000,2240000,3350000
BUFFALO WILD WINGS,1830000,1830000,1830000,1830000,1830000,1830000,1830000,2240000,1830000,1830000,2240000,2240000,1830000,1830000,1830000,2240000,1830000,2240000,2240000,2240000,2240000,2240000,2740000,2740000
F N B,49500,49500,49500,49500,60500,49500,60500,49500,60500,49500,60500,60500,49500,60500,60500,49500,60500,60500,60500,49500,60500,60500,60500,60500
BIG LOTS,1500000,1500000,1220000,1500000,1500000,1500000,1500000,1220000,1220000,2240000,2240000,1500000,1500000,1830000,1500000,1830000,1830000,1830000,1500000,1500000,1500000,2240000,2740000,1500000
HERBALIFE,450000,673000,550000,450000,368000,450000,368000,301000,301000,246000,246000,368000,368000,450000,368000,368000,368000,368000,368000,301000,301000,301000,246000,368000
KATE SPADE,673000,673000,550000,673000,673000,673000,673000,673000,673000,1220000,1220000,823000,823000,823000,673000,823000,673000,823000,823000,1000000,823000,1830000,1830000,1000000
CHEESECAKE FACTORY,1000000,1000000,823000,1000000,1000000,1000000,1000000,823000,1000000,1000000,1220000,1220000,1220000,1220000,1000000,823000,1000000,1220000,1220000,673000,1000000,1220000,1500000,1220000
TEXAS ROADHOUSE,823000,823000,673000,823000,823000,823000,823000,673000,823000,1000000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1500000
NAVIENT,3600,1900,6600,8100,8100,8100,22200,49500,368000,550000,673000,1220000,1000000,1000000,1000000,823000,823000,823000,823000,823000,1000000,823000,823000,1220000
POOL,74000,90500,110000,135000,165000,135000,110000,90500,90500,90500,90500,90500,90500,135000,135000,165000,201000,201000,201000,246000,201000,246000,368000,450000
CRACKER BARREL,550000,673000,550000,673000,673000,823000,673000,673000,673000,1000000,1000000,823000,673000,673000,673000,823000,823000,823000,823000,823000,823000,1000000,1000000,823000
POPULAR,33100,33100,33100,33100,33100,33100,33100,33100,40500,33100,33100,33100,33100,40500,33100,33100,33100,33100,33100,40500,49500,49500,49500,49500
VMWARE,135000,165000,135000,135000,135000,135000,135000,165000,165000,135000,135000,135000,135000,165000,135000,135000,135000,135000,165000,165000,201000,135000,135000,165000
ABERCROMBIE and FITCH,135000,135000,135000,135000,135000,165000,201000,135000,135000,246000,246000,135000,135000,135000,135000,135000,135000,165000,165000,165000,201000,550000,301000,201000
MADISON SQUARE GARDEN,201000,201000,135000,135000,110000,135000,135000,165000,201000,165000,201000,201000,201000,201000,165000,135000,135000,165000,165000,201000,201000,201000,246000,201000
KIRBY,74000,74000,90500,110000,90500,90500,90500,74000,90500,90500,110000,110000,110000,165000,110000,110000,90500,110000,110000,90500,110000,110000,110000,110000
OSHKOSH,135000,165000,135000,135000,110000,135000,201000,165000,201000,246000,165000,135000,165000,201000,165000,135000,135000,201000,246000,246000,246000,368000,246000,201000
