Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
JC PENNEY,201000,246000,246000,246000,201000,201000,246000,201000,246000,368000,368000,246000,201000,246000,246000,246000,246000,246000,301000,246000,301000,450000,450000,246000
HOWARD HUGHES,135000,246000,165000,165000,110000,110000,110000,90500,90500,90500,90500,135000,90500,110000,110000,165000,450000,165000,110000,110000,90500,90500,110000,165000
VIASAT,14800,14800,14800,14800,14800,12100,14800,14800,14800,12100,12100,18100,14800,14800,14800,14800,14800,18100,18100,18100,18100,14800,14800,18100
AVISTA,33100,33100,33100,33100,33100,40500,49500,33100,33100,27100,33100,33100,40500,33100,33100,33100,40500,40500,40500,33100,40500,135000,49500,49500
RACKSPACE,90500,90500,90500,110000,90500,110000,90500,110000,90500,90500,74000,90500,90500,90500,90500,90500,90500,90500,90500,74000,90500,74000,74000,74000
CRANE,33100,33100,40500,40500,33100,33100,33100,40500,40500,40500,33100,40500,40500,40500,40500,49500,40500,40500,40500,60500,49500,40500,40500,49500
AUTONATION,110000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,165000,165000,165000,135000,135000,165000,165000,165000,165000,135000,135000,135000,165000
PRIMERICA,90500,110000,110000,110000,110000,110000,110000,110000,110000,110000,90500,135000,110000,135000,135000,135000,135000,165000,165000,135000,135000,110000,110000,135000
STARZ,74000,74000,60500,60500,74000,90500,246000,135000,90500,74000,74000,110000,74000,90500,135000,110000,165000,135000,165000,90500,90500,110000,110000,135000
AECOM,40500,40500,40500,40500,33100,74000,40500,40500,49500,33100,33100,49500,49500,49500,49500,49500,49500,60500,60500,60500,60500,60500,49500,74000
NETSUITE,49500,60500,60500,60500,60500,60500,60500,60500,74000,60500,49500,60500,60500,60500,74000,60500,74000,74000,60500,60500,74000,60500,60500,60500
INTERACTIVE BROKERS,49500,60500,60500,49500,49500,49500,49500,49500,60500,49500,49500,60500,60500,60500,60500,49500,49500,60500,60500,49500,49500,49500,49500,60500
NCR,33100,33100,33100,33100,33100,33100,27100,33100,40500,27100,27100,33100,33100,33100,40500,33100,40500,40500,33100,33100,33100,33100,27100,33100
ZIONS BANK,110000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,110000,135000,135000,135000,135000,135000,135000,135000,135000,110000,135000,135000
NOBLE,33100,40500,40500,33100,27100,27100,33100,40500,49500,40500,40500,49500,40500,49500,49500,90500,33100,33100,40500,49500,49500,49500,49500,49500
SOUTHWEST GAS,110000,110000,110000,110000,90500,90500,90500,90500,110000,110000,110000,135000,135000,135000,135000,110000,135000,135000,135000,110000,110000,110000,135000,165000
PTC,22200,22200,22200,22200,18100,22200,22200,22200,27100,22200,22200,27100,27100,27100,27100,27100,22200,22200,22200,27100,33100,27100,22200,27100
GRACO,135000,74000,60500,60500,60500,74000,60500,60500,60500,74000,49500,60500,49500,60500,49500,49500,49500,60500,60500,60500,49500,60500,40500,49500
MOLINA HEALTHCARE,60500,74000,60500,60500,60500,60500,60500,60500,74000,60500,90500,110000,110000,135000,110000,90500,110000,110000,110000,90500,90500,110000,135000,201000
PITNEY BOWES,60500,60500,60500,49500,49500,60500,49500,60500,60500,49500,49500,74000,60500,60500,60500,60500,60500,60500,49500,60500,60500,49500,49500,90500
DELUXE,18100,18100,14800,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,22200,27100,22200,22200,27100
WASHINGTON FEDERAL,90500,90500,74000,110000,90500,90500,90500,90500,90500,90500,110000,110000,90500,90500,90500,90500,90500,90500,110000,110000,110000,165000,110000,90500
MAXIMUS,27100,27100,27100,33100,27100,27100,22200,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100
ITT,33100,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,33100,27100,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,33100
CREE,40500,49500,49500,40500,33100,33100,33100,33100,49500,33100,33100,40500,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100
CONVERGYS,40500,49500,49500,49500,49500,49500,49500,49500,60500,49500,49500,60500,49500,60500,49500,49500,60500,74000,60500,60500,49500,49500,49500,60500
BANK OF HAWAII,74000,74000,90500,90500,74000,74000,90500,74000,90500,74000,74000,90500,74000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500
FIRST DATA,33100,33100,33100,33100,33100,33100,33100,40500,40500,33100,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,74000,40500,33100,33100
FORTINET,14800,14800,14800,14800,14800,14800,14800,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,22200,18100,18100,22200,18100,18100,22200
DUN and BRADSTREET,49500,49500,49500,49500,40500,49500,40500,40500,49500,40500,40500,40500,40500,49500,49500,49500,49500,49500,49500,49500,49500,40500,40500,49500
BRUNSWICK,33100,33100,33100,27100,33100,33100,33100,27100,27100,27100,33100,40500,33100,40500,33100,33100,33100,40500,33100,33100,33100,40500,40500,49500
MB FINANCIAL,49500,60500,60500,60500,60500,60500,60500,74000,74000,74000,74000,74000,74000,90500,74000,74000,74000,90500,74000,74000,74000,74000,74000,74000
RR DONNELLEY,40500,40500,40500,40500,40500,40500,40500,40500,49500,40500,40500,49500,49500,49500,49500,49500,49500,49500,60500,49500,49500,49500,40500,49500
VCA,14800,14800,18100,14800,14800,18100,14800,14800,14800,14800,18100,18100,18100,18100,18100,18100,22200,22200,22200,22200,22200,18100,18100,22200
GENPACT,12100,12100,9900,9900,9900,9900,9900,9900,9900,8100,6600,9900,9900,9900,9900,9900,12100,12100,9900,12100,12100,9900,8100,9900
HELEN OF TROY,27100,33100,27100,27100,22200,22200,27100,33100,33100,60500,33100,33100,40500,40500,33100,33100,27100,33100,27100,40500,33100,40500,33100,33100
NORTHWESTERN,33100,60500,49500,33100,33100,33100,40500,60500,74000,74000,60500,49500,49500,60500,49500,40500,40500,49500,49500,90500,110000,74000,74000,74000
KBR,33100,33100,27100,27100,27100,27100,22200,33100,33100,27100,27100,33100,33100,33100,33100,27100,27100,27100,27100,33100,33100,27100,27100,33100
TECH DATA,9900,12100,12100,9900,9900,9900,9900,9900,9900,9900,8100,9900,9900,9900,9900,12100,12100,9900,12100,12100,12100,9900,8100,9900
SYNAPTICS,12100,12100,12100,9900,12100,9900,9900,12100,12100,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,9900,8100,6600,9900
WEX,6600,8100,8100,8100,8100,8100,8100,8100,8100,6600,8100,8100,8100,8100,9900,8100,9900,9900,9900,9900,12100,9900,9900,9900
HUNTSMAN,8100,9900,12100,9900,9900,9900,9900,12100,14800,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,18100,18100,14800
PIEDMONT NATURAL GAS,60500,74000,60500,60500,49500,60500,60500,60500,74000,74000,74000,90500,74000,74000,60500,60500,60500,60500,49500,49500,74000,60500,60500,74000
USG,18100,18100,18100,14800,14800,14800,14800,14800,18100,14800,14800,18100,14800,18100,18100,14800,14800,14800,14800,14800,14800,14800,12100,18100
FIREEYE,27100,40500,33100,40500,22200,22200,22200,27100,27100,33100,33100,27100,40500,27100,33100,33100,33100,33100,27100,33100,27100,27100,22200,27100
JONES LANG LASALLE,40500,33100,33100,27100,27100,27100,27100,27100,33100,27100,22200,27100,27100,27100,27100,22200,27100,27100,22200,22200,22200,22200,18100,22200
BROOKDALE SENIOR LIVING,40500,40500,33100,33100,33100,40500,49500,49500,49500,49500,49500,74000,60500,60500,49500,60500,74000,49500,40500,49500,110000,74000,40500,49500
TERADATA,22200,22200,22200,22200,18100,22200,22200,22200,27100,22200,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200
VECTREN,49500,60500,49500,49500,49500,49500,49500,49500,60500,60500,49500,60500,60500,49500,60500,60500,49500,60500,60500,60500,60500,60500,60500,60500
COTY,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,22200,22200,14800,14800,14800,14800,12100,14800
SLM,5400,5400,5400,8100,4400,4400,4400,4400,4400,3600,3600,3600,3600,3600,4400,3600,3600,4400,3600,3600,4400,3600,3600,4400
BOOZ ALLEN HAMILTON,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100,40500,40500,49500,49500,40500,40500,40500,40500,49500,49500,40500,40500,49500
NATIONAL INSTRUMENTS,18100,18100,18100,18100,18100,18100,18100,22200,22200,14800,12100,18100,18100,18100,18100,14800,14800,14800,18100,22200,18100,14800,12100,14800
ATMEL,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,9900,9900,9900,9900,9900,12100,9900,9900,18100,9900,8100,8100,14800
TEREX,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,14800,12100,12100,9900,9900,14800
SPROUTS FARMERS MARKET,27100,33100,33100,33100,49500,60500,49500,40500,40500,40500,40500,60500,49500,74000,60500,49500,49500,49500,49500,33100,33100,33100,40500,49500
DONALDSON,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,6600,8100,8100,8100,8100,12100,6600,5400,6600
CHESAPEAKE ENERGY,40500,40500,40500,40500,33100,40500,33100,40500,40500,33100,40500,40500,40500,40500,33100,27100,33100,40500,49500,49500,33100,33100,40500,49500
WOODWARD,14800,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800,18100,18100,22200,18100,18100,22200,22200,22200,18100,18100,18100,14800,22200
AGCO,12100,12100,12100,12100,12100,12100,12100,12100,14800,9900,9900,9900,9900,12100,12100,9900,12100,12100,12100,12100,9900,9900,8100,9900
SYNNEX,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,12100
ZEBRA TECHNOLOGIES,8100,8100,22200,9900,9900,12100,12100,12100,14800,14800,12100,14800,14800,18100,18100,18100,18100,18100,18100,18100,14800,14800,12100,14800
CLEAN HARBORS,18100,18100,18100,18100,18100,18100,18100,18100,22200,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200
LAZARD,8100,8100,8100,8100,8100,8100,8100,9900,12100,9900,8100,12100,9900,9900,9900,8100,8100,9900,8100,12100,12100,9900,8100,9900
MURPHY USA,18100,18100,22200,27100,27100,27100,27100,27100,27100,27100,27100,33100,27100,27100,27100,27100,27100,33100,33100,33100,27100,27100,27100,33100
FIRSTMERIT,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,33100
TABLEAU SOFTWARE,14800,14800,14800,12100,12100,12100,12100,14800,14800,12100,9900,12100,12100,14800,12100,12100,12100,12100,12100,12100,12100,12100,9900,12100
ALLSCRIPTS,22200,22200,27100,22200,22200,22200,22200,27100,22200,22200,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200
WADDELL and REED,27100,27100,27100,27100,27100,27100,27100,27100,33100,27100,27100,27100,33100,33100,33100,27100,27100,27100,27100,27100,27100,22200,22200,27100
CABOT,8100,8100,9900,9900,8100,8100,9900,12100,9900,8100,8100,8100,8100,8100,9900,9900,8100,8100,9900,12100,12100,9900,9900,9900
BELDEN,9900,9900,9900,9900,9900,9900,9900,12100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,8100,8100,8100
CLECO,27100,22200,18100,18100,22200,22200,22200,22200,22200,18100,18100,18100,18100,22200,22200,22200,22200,27100,27100,27100,27100,27100,27100,27100
ROVI,8100,8100,8100,8100,6600,8100,6600,6600,8100,8100,6600,6600,8100,9900,8100,8100,6600,9900,8100,8100,8100,5400,6600,6600
NRG ENERGY,14800,22200,22200,18100,22200,22200,27100,22200,22200,18100,18100,22200,18100,22200,22200,18100,18100,18100,22200,22200,22200,14800,22200,22200
VAIL RESORTS,33100,27100,14800,12100,12100,14800,14800,22200,22200,33100,33100,33100,27100,22200,14800,9900,12100,14800,14800,18100,22200,27100,33100,40500
HOUGHTON MIFFLIN,27100,27100,22200,22200,18100,14800,22200,33100,27100,22200,18100,22200,22200,22200,22200,18100,14800,14800,22200,33100,27100,18100,14800,22200
CORELOGIC,18100,18100,22200,18100,14800,18100,14800,18100,18100,14800,14800,18100,18100,22200,22200,22200,27100,18100,18100,18100,18100,14800,14800,18100
ALERE,12100,12100,12100,12100,12100,14800,12100,14800,18100,9900,9900,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,9900,9900,12100
COGNEX,6600,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,9900,8100,9900,8100,8100,8100,8100,8100,6600,6600,6600
BLACK HILLS,12100,12100,14800,14800,18100,18100,18100,18100,14800,12100,12100,14800,14800,18100,18100,22200,22200,22200,18100,18100,14800,14800,14800,18100
BLACKBAUD,18100,18100,18100,18100,18100,18100,18100,22200,22200,18100,14800,18100,18100,18100,18100,18100,18100,18100,22200,22200,22200,18100,14800,22200
TENET HEALTHCARE,22200,22200,22200,22200,22200,27100,22200,22200,22200,22200,22200,27100,22200,27100,22200,18100,22200,22200,22200,22200,22200,18100,14800,22200
JACK IN BOX,9900,12100,12100,9900,9900,9900,9900,9900,12100,9900,880,1000,880,8100,880,1000,880,1000,1000,1000,3600,22200,27100,33100
ON SEMICONDUCTOR,6600,8100,8100,6600,8100,8100,6600,8100,8100,6600,6600,8100,8100,9900,9900,8100,8100,8100,8100,8100,9900,12100,6600,8100
VISTEON,4400,4400,4400,4400,4400,5400,4400,5400,4400,4400,3600,5400,4400,5400,4400,5400,6600,4400,4400,4400,4400,4400,3600,5400
TENNECO,5400,6600,6600,6600,6600,6600,6600,6600,8100,5400,5400,8100,6600,8100,8100,6600,8100,8100,8100,8100,9900,6600,6600,8100
BROWN FORMAN,9900,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,9900,12100,12100,9900,12100,12100,12100,12100,12100,9900,9900,12100
HEARTLAND PAYMENT SYSTEMS,14800,18100,18100,18100,18100,18100,18100,18100,22200,18100,18100,22200,18100,22200,22200,22200,22200,22200,18100,18100,18100,18100,22200,22200
MENTOR GRAPHICS,6600,8100,8100,6600,6600,6600,6600,8100,8100,6600,5400,8100,8100,8100,8100,6600,8100,6600,6600,8100,8100,8100,6600,8100
LITTELFUSE,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,8100,8100,6600,8100,8100,8100,8100,8100,8100,6600,8100
BRUKER,3600,4400,4400,3600,3600,4400,3600,3600,4400,3600,2900,3600,3600,4400,4400,4400,3600,3600,3600,3600,3600,2900,2900,3600
CIENA,6600,6600,8100,6600,8100,6600,6600,8100,6600,5400,6600,6600,6600,8100,6600,8100,6600,6600,6600,6600,6600,6600,5400,6600
STIFEL,9900,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,12100,18100,14800,14800,12100,14800,14800,14800,12100,14800,14800,14800,14800
MICROSEMI,6600,8100,8100,6600,6600,6600,6600,8100,8100,5400,5400,8100,6600,9900,8100,8100,8100,8100,6600,8100,9900,8100,6600,9900
BLOOMIN BRANDS,12100,12100,12100,12100,9900,9900,12100,9900,9900,9900,12100,14800,12100,12100,12100,14800,14800,18100,18100,14800,14800,14800,27100,27100
LEGG MASON,9900,9900,9900,9900,9900,12100,9900,12100,9900,8100,8100,9900,9900,9900,9900,8100,8100,9900,9900,8100,8100,8100,8100,12100
OLIN,6600,6600,6600,6600,5400,5400,5400,6600,6600,6600,6600,8100,6600,12100,8100,6600,5400,6600,6600,9900,9900,6600,6600,8100
BEMIS,8100,8100,8100,6600,8100,8100,8100,9900,9900,8100,8100,8100,8100,9900,8100,8100,8100,8100,8100,8100,8100,6600,6600,9900
HEALTHSOUTH,9900,12100,12100,12100,12100,12100,12100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,18100,14800,14800,18100,14800,14800,18100
QUESTAR,9900,12100,9900,9900,9900,9900,12100,12100,12100,9900,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,14800,14800,18100,22200
COMMUNITY HEALTH SYSTEMS,14800,14800,14800,14800,12100,14800,90500,18100,22200,14800,12100,18100,14800,14800,14800,14800,14800,14800,18100,14800,14800,12100,9900,14800
NORDSON,4400,4400,4400,4400,4400,4400,5400,5400,5400,4400,3600,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,4400,5400
AVIS BUDGET GROUP,6600,9900,9900,9900,9900,9900,9900,8100,8100,6600,6600,8100,8100,8100,9900,12100,9900,9900,9900,8100,8100,8100,8100,8100
CURTISS WRIGHT,6600,8100,6600,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,8100,8100,8100,14800,9900,8100,8100,8100,8100,6600,8100
CONTINENTAL RESOURCES,14800,14800,14800,14800,14800,14800,14800,18100,18100,22200,22200,27100,18100,14800,12100,12100,9900,9900,12100,12100,9900,9900,9900,18100
ROLLINS,8100,8100,8100,8100,6600,6600,8100,8100,8100,8100,12100,9900,9900,9900,9900,6600,6600,6600,9900,8100,8100,8100,6600,8100
RLI,2400,2400,2400,2400,2400,2400,2400,2900,2900,2400,2400,2400,2400,3600,2900,2400,2400,2400,2400,2900,2900,2400,2400,3600
ENERSYS,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,4400,5400,5400,6600,5400,5400,5400,5400,5400,5400,8100,4400,4400,5400
SANDERSON FARMS,8100,8100,8100,8100,9900,9900,9900,9900,9900,14800,12100,12100,12100,12100,9900,12100,12100,12100,12100,12100,12100,18100,12100,12100
CONSOL ENERGY,12100,12100,9900,9900,9900,12100,9900,9900,12100,9900,9900,12100,9900,12100,12100,9900,12100,18100,12100,12100,18100,12100,9900,14800
ARISTA NETWORKS,8100,9900,12100,12100,22200,14800,12100,9900,9900,8100,14800,9900,12100,9900,8100,8100,9900,8100,8100,9900,8100,6600,5400,8100
TRINITY INDUSTRIES,9900,9900,9900,9900,12100,12100,9900,14800,22200,12100,9900,12100,12100,12100,14800,9900,12100,12100,9900,9900,12100,8100,8100,9900
FAIRCHILD SEMICONDUCTOR,6600,8100,8100,6600,5400,8100,9900,8100,6600,6600,5400,6600,6600,6600,6600,5400,6600,6600,5400,6600,9900,9900,8100,8100
GEO GROUP,9900,9900,9900,9900,9900,12100,12100,9900,9900,8100,8100,9900,9900,12100,12100,12100,12100,12100,12100,9900,12100,9900,9900,12100
OWENS ILLINOIS,4400,5400,5400,4400,5400,5400,5400,5400,5400,4400,4400,5400,5400,6600,6600,6600,5400,5400,5400,6600,6600,5400,4400,5400
ENSCO,9900,9900,9900,9900,8100,9900,8100,9900,9900,8100,8100,8100,9900,8100,6600,6600,6600,6600,6600,6600,5400,4400,4400,6600
MURPHY OIL,8100,8100,8100,8100,8100,9900,8100,8100,9900,8100,8100,9900,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,9900
KEYSIGHT TECHNOLOGIES,590,590,880,1000,880,1900,6600,6600,8100,8100,5400,6600,8100,6600,5400,5400,5400,4400,5400,6600,6600,5400,5400,6600
CEPHEID,6600,6600,8100,6600,5400,5400,5400,5400,6600,6600,5400,6600,6600,8100,9900,8100,8100,8100,8100,6600,8100,6600,6600,8100
CATALENT,4400,5400,5400,4400,4400,8100,5400,5400,5400,5400,4400,5400,5400,6600,5400,5400,5400,5400,5400,6600,5400,5400,4400,5400
DOMTAR,5400,6600,6600,6600,5400,6600,6600,6600,6600,5400,5400,6600,6600,6600,6600,6600,6600,6600,8100,8100,6600,6600,5400,6600
PATTERSON COMPANIES,1900,1900,1900,1900,2400,1900,2400,2400,2900,2900,1900,8100,9900,12100,14800,12100,12100,12100,12100,12100,12100,12100,12100,12100
BANK OF OZARKS,8100,8100,8100,9900,8100,9900,12100,9900,8100,9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,12100,12100,14800,14800,14800
MANHATTAN ASSOCIATES,5400,5400,5400,5400,4400,5400,5400,5400,5400,4400,3600,5400,6600,5400,5400,4400,5400,5400,5400,6600,6600,5400,4400,8100
B E AEROSPACE,9900,12100,9900,18100,12100,9900,9900,9900,9900,8100,9900,9900,8100,8100,8100,6600,6600,6600,6600,6600,6600,5400,5400,6600
GENTEX,8100,8100,8100,6600,6600,8100,8100,8100,9900,6600,8100,9900,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,8100
CYPRESS SEMICONDUCTOR,4400,4400,4400,4400,4400,4400,4400,5400,5400,5400,8100,6600,5400,8100,6600,6600,6600,6600,5400,6600,8100,5400,5400,6600
COLFAX,6600,6600,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,6600,6600,8100,8100,6600,8100,8100,6600,8100,6600,6600,8100
CIRRUS LOGIC,5400,4400,5400,4400,3600,4400,3600,4400,4400,3600,3600,4400,5400,5400,5400,4400,4400,5400,4400,5400,4400,3600,3600,6600
JOHN WILEY and SONS,5400,5400,6600,5400,5400,5400,5400,6600,6600,4400,4400,6600,6600,6600,6600,5400,5400,5400,5400,8100,6600,5400,4400,6600
HEXCEL,4400,5400,4400,4400,4400,4400,4400,4400,5400,3600,3600,5400,4400,5400,5400,4400,4400,4400,4400,4400,4400,3600,3600,4400
STEVEN MADDEN,4400,5400,5400,4400,3600,3600,4400,5400,6600,8100,8100,5400,5400,6600,6600,6600,5400,5400,6600,6600,6600,8100,6600,6600
GRAPHIC PACKAGING,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,9900,8100,8100,8100,8100,8100,8100,8100,9900,9900,6600,6600,9900
TAKE TWO INTERACTIVE,6600,4400,3600,4400,3600,3600,3600,3600,4400,4400,3600,3600,5400,4400,4400,5400,3600,3600,4400,4400,4400,5400,4400,3600
POLYONE,5400,5400,5400,5400,5400,5400,5400,6600,6600,4400,4400,5400,5400,5400,5400,5400,5400,5400,5400,6600,6600,5400,4400,6600
