Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
FACEBOOK,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000,414000000
YAHOO,55600000,68000000,68000000,55600000,55600000,55600000,55600000,68000000,68000000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,45500000,45500000,55600000
AMAZON,45500000,55600000,45500000,45500000,45500000,55600000,55600000,55600000,55600000,68000000,83100000,68000000,55600000,68000000,55600000,55600000,55600000,68000000,68000000,68000000,68000000,83100000,101000000,83100000
EBAY,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,55600000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,55600000,45500000
TWITTER,13600000,13600000,13600000,13600000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,9140000,9140000,11100000,11100000,9140000,9140000,9140000,9140000,11100000
NETFLIX,24900000,24900000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,24900000,24900000,20400000,20400000,20400000,20400000,24900000,20400000,24900000,20400000,24900000,20400000,24900000,24900000
LINKEDIN,7480000,7480000,7480000,7480000,7480000,7480000,7480000,7480000,9140000,7480000,6120000,9140000,7480000,9140000,9140000,7480000,9140000,9140000,9140000,9140000,9140000,7480000,7480000,9140000
PAYPAL,7480000,7480000,7480000,7480000,6120000,7480000,7480000,7480000,7480000,7480000,7480000,7480000,7480000,9140000,7480000,7480000,7480000,7480000,9140000,7480000,7480000,7480000,9140000,9140000
TARGET,13600000,13600000,13600000,13600000,13600000,16600000,16600000,13600000,16600000,24900000,30400000,16600000,13600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,30400000,30400000,16600000
HOME DEPOT,13600000,13600000,16600000,16600000,16600000,16600000,16600000,16600000,13600000,16600000,16600000,13600000,13600000,16600000,20400000,20400000,16600000,16600000,16600000,16600000,16600000,20400000,16600000,16600000
WELLS FARGO,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,20400000,16600000,16600000,16600000,16600000,20400000,20400000,20400000,20400000,16600000,16600000,16600000,20400000,16600000
BEST BUY,11100000,11100000,9140000,9140000,9140000,11100000,11100000,11100000,11100000,20400000,20400000,11100000,11100000,11100000,9140000,11100000,11100000,11100000,13600000,11100000,11100000,24900000,24900000,13600000
