Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
Turtle Wax,8100,9900,9900,9900,9900,9900,8100,8100,6600,6600,6600,6600,9900,12100,12100,9900,9900,9900,8100,8100,6600,6600,6600,8100
Tektronix,12100,12100,12100,9900,12100,9900,12100,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,12100
Vivitar,6600,6600,5400,5400,5400,5400,5400,5400,6600,9900,8100,5400,5400,5400,5400,5400,6600,6600,6600,5400,6600,12100,8100,6600
Warburg Pincus,9900,9900,12100,8100,9900,8100,9900,9900,8100,6600,8100,9900,9900,9900,8100,9900,9900,9900,9900,9900,9900,6600,9900,9900
Underwriters Laboratories,9900,9900,9900,9900,9900,12100,9900,12100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100
Taser International,5400,4400,5400,4400,4400,8100,6600,6600,6600,8100,6600,6600,6600,9900,12100,8100,8100,8100,8100,6600,8100,8100,8100,8100
United Country Real Estate,9900,9900,9900,8100,9900,9900,8100,9900,8100,8100,9900,8100,9900,9900,9900,9900,12100,9900,8100,6600,8100,8100,12100,9900
Zapata,12100,9900,9900,8100,9900,8100,8100,9900,9900,9900,9900,12100,9900,14800,12100,9900,8100,9900,9900,12100,12100,9900,9900,12100
Unisys,14800,14800,12100,12100,12100,12100,12100,14800,14800,12100,14800,14800,12100,14800,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100
Xilinx,14800,14800,12100,12100,14800,12100,14800,14800,12100,9900,14800,12100,14800,14800,12100,14800,12100,12100,14800,14800,12100,9900,14800,14800
Terex,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,14800,12100,12100,9900,9900,14800,14800
ViewSonic,12100,14800,12100,12100,12100,12100,12100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,9900,8100,9900,9900
Zildjian,14800,14800,14800,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800,14800
Timken,14800,14800,12100,12100,14800,12100,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,12100
VIZ Media,9900,9900,12100,12100,14800,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,14800,12100,12100,14800,14800,14800,14800,14800
Washburn Guitars,12100,12100,9900,9900,9900,12100,9900,9900,12100,14800,14800,12100,12100,9900,9900,9900,9900,12100,12100,12100,12100,14800,14800,12100
Otis Elevator,12100,12100,9900,9900,9900,9900,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800
Verisign,14800,18100,14800,14800,14800,14800,14800,14800,14800,12100,14800,14800,14800,14800,12100,12100,12100,12100,12100,14800,12100,9900,12100,12100
Bell Helicopter,14800,14800,14800,12100,14800,14800,14800,14800,12100,12100,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800
THQ,8100,8100,9900,18100,9900,8100,6600,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,6600,6600,5400
Yum Yum Donuts,8100,8100,8100,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,12100,14800,18100,14800,12100,12100,12100,14800,18100,14800,14800
Warner Bros,12100,12100,12100,12100,12100,12100,14800,14800,12100,12100,14800,12100,14800,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,22200
Gore Tex,14800,12100,9900,8100,9900,9900,12100,18100,22200,22200,18100,18100,12100,12100,9900,9900,12100,12100,14800,22200,22200,22200,22200,18100
Woodward,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800,18100,18100,22200,18100,18100,22200,22200,22200,18100,18100,18100,14800,22200,22200
Thermo Fisher Scientific,14800,14800,12100,14800,14800,14800,14800,14800,14800,12100,14800,14800,18100,18100,14800,18100,18100,18100,22200,18100,18100,14800,22200,22200
Werner Enterprises,18100,22200,18100,18100,22200,22200,22200,22200,18100,22200,22200,22200,18100,18100,18100,22200,22200,18100,18100,22200,22200,22200,22200,18100
Williams Companies,3600,3600,3600,6600,4400,4400,4400,5400,3600,4400,5400,5400,4400,5400,6600,12100,9900,9900,22200,6600,4400,5400,9900,9900
TreeRing,18100,22200,12100,2900,1300,1900,5400,5400,4400,3600,6600,8100,14800,22200,9900,2900,1000,1600,5400,6600,6600,5400,9900,12100
ViaSat,14800,14800,14800,14800,12100,14800,14800,14800,12100,12100,18100,14800,14800,14800,14800,14800,18100,18100,18100,18100,14800,14800,18100,27100
Teradata,22200,22200,22200,18100,22200,22200,22200,27100,22200,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200
Zoetis,14800,18100,14800,14800,14800,14800,14800,14800,27100,14800,18100,18100,18100,18100,22200,27100,18100,18100,18100,18100,14800,14800,18100,18100
Textron,18100,14800,14800,12100,14800,14800,27100,22200,18100,14800,22200,18100,22200,18100,18100,18100,18100,18100,27100,22200,18100,14800,22200,27100
Tenet Healthcare,22200,22200,22200,22200,27100,22200,22200,22200,22200,22200,27100,22200,27100,22200,18100,22200,22200,22200,22200,22200,18100,14800,22200,18100
Vulcan Materials,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,22200,18100,27100,22200,22200,22200,18100,22200,18100,22200,18100,18100,22200,22200
Tesoro,27100,22200,22200,22200,22200,22200,27100,33100,22200,22200,27100,33100,27100,27100,22200,22200,22200,27100,27100,27100,22200,22200,27100,27100
World Financial Group,18100,18100,18100,18100,22200,18100,18100,18100,18100,14800,22200,22200,22200,22200,22200,22200,27100,33100,27100,27100,22200,22200,22200,27100
Weyerhaeuser,22200,22200,22200,27100,22200,27100,22200,22200,18100,18100,22200,22200,22200,22200,22200,27100,27100,27100,22200,27100,33100,22200,27100,27100
