Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
Tyson Foods,22200,22200,22200,27100,22200,22200,22200,22200,22200,18100,27100,22200,27100,22200,22200,22200,22200,27100,27100,27100,27100,22200,27100,33100
Xylem,33100,33100,33100,18100,14800,14800,22200,27100,22200,22200,22200,27100,33100,40500,33100,18100,14800,14800,22200,27100,27100,22200,22200,33100
US Steel,27100,27100,22200,22200,27100,22200,27100,33100,22200,22200,40500,27100,40500,40500,33100,27100,33100,40500,40500,40500,40500,40500,40500,33100
Tootsie Roll,18100,22200,22200,18100,18100,18100,22200,33100,33100,27100,33100,27100,27100,27100,27100,22200,18100,22200,27100,40500,40500,27100,27100,27100
Yum Brands,22200,22200,27100,14800,22200,18100,22200,22200,22200,18100,22200,22200,22200,22200,33100,18100,22200,22200,22200,40500,22200,18100,22200,22200
Voya Financial,1900,3600,4400,4400,4400,5400,22200,27100,22200,18100,40500,33100,27100,27100,27100,27100,27100,27100,22200,27100,22200,18100,27100,22200
Vail Resorts,27100,14800,12100,12100,14800,14800,22200,22200,33100,33100,33100,27100,22200,14800,9900,12100,14800,14800,18100,22200,27100,33100,40500,27100
WellPoint,33100,33100,33100,40500,40500,40500,40500,40500,33100,33100,27100,22200,14800,12100,9900,12100,12100,9900,9900,9900,6600,6600,8100,8100
Verbatim,40500,40500,40500,33100,33100,40500,49500,49500,40500,40500,49500,40500,49500,40500,40500,40500,40500,40500,49500,49500,40500,40500,49500,49500
WD 40,18100,18100,18100,22200,22200,18100,18100,18100,18100,14800,22200,18100,27100,22200,22200,27100,22200,27100,49500,22200,18100,22200,22200,22200
Wrangler,40500,40500,40500,40500,40500,40500,49500,49500,60500,60500,49500,49500,49500,49500,49500,40500,49500,49500,49500,60500,60500,60500,49500,49500
Vertex,49500,49500,49500,40500,33100,33100,49500,49500,40500,40500,49500,49500,60500,60500,60500,40500,40500,40500,60500,60500,49500,40500,49500,60500
Viacom,60500,40500,27100,27100,27100,27100,33100,49500,33100,27100,33100,40500,49500,40500,33100,33100,40500,49500,40500,49500,33100,33100,49500,60500
Vectren,60500,49500,49500,49500,49500,49500,49500,60500,60500,49500,60500,60500,49500,60500,60500,49500,60500,60500,60500,60500,60500,60500,60500,60500
Toll Brothers,49500,49500,49500,40500,49500,49500,49500,49500,40500,40500,60500,49500,49500,49500,49500,49500,49500,49500,40500,49500,40500,40500,49500,49500
Tuff Shed,33100,40500,33100,33100,33100,33100,33100,40500,33100,27100,33100,33100,49500,49500,49500,49500,49500,60500,49500,60500,40500,40500,49500,49500
Trijicon,40500,33100,33100,33100,33100,33100,33100,33100,33100,40500,49500,40500,40500,33100,33100,27100,33100,33100,33100,40500,49500,60500,60500,49500
WinCo Foods,33100,33100,40500,40500,49500,40500,33100,33100,60500,40500,40500,33100,33100,33100,40500,40500,60500,49500,60500,49500,49500,49500,49500,40500
Trinity,60500,60500,60500,49500,49500,49500,60500,60500,60500,60500,60500,60500,60500,60500,60500,49500,60500,60500,74000,74000,74000,74000,74000,74000
Texas Instruments,49500,49500,49500,40500,40500,74000,74000,60500,49500,40500,49500,49500,49500,49500,49500,40500,40500,74000,74000,60500,49500,40500,60500,49500
Valspar,60500,40500,49500,49500,49500,40500,40500,33100,33100,27100,33100,33100,74000,40500,40500,40500,40500,40500,33100,33100,27100,22200,33100,33100
Sikorsky,22200,22200,27100,22200,22200,22200,18100,27100,18100,22200,22200,18100,33100,27100,33100,49500,74000,27100,27100,33100,27100,18100,27100,27100
Weis Markets,49500,49500,49500,49500,49500,49500,49500,49500,60500,74000,60500,49500,60500,60500,60500,49500,49500,49500,49500,40500,49500,60500,49500,49500
Tempur Pedic,22200,18100,22200,18100,18100,14800,12100,14800,14800,14800,18100,18100,18100,22200,74000,33100,27100,33100,33100,22200,22200,22200,27100,27100
Western Digital,90500,74000,74000,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,60500,60500,60500,60500,60500,60500,74000,74000,74000,74000,60500
Valve,49500,49500,40500,49500,40500,40500,40500,40500,40500,49500,49500,49500,90500,74000,49500,90500,49500,49500,40500,49500,40500,49500,49500,40500
Winnebago,49500,60500,60500,60500,74000,74000,60500,60500,49500,49500,60500,60500,90500,74000,74000,74000,90500,90500,74000,74000,60500,49500,60500,60500
Xerox,74000,74000,74000,60500,74000,74000,74000,74000,60500,60500,74000,74000,74000,90500,90500,90500,90500,90500,110000,110000,90500,74000,110000,90500
United Rentals,90500,90500,90500,90500,90500,90500,90500,90500,74000,74000,74000,74000,90500,110000,90500,110000,110000,110000,110000,110000,90500,90500,90500,90500
Union Pacific,74000,74000,90500,90500,90500,90500,90500,90500,90500,90500,110000,90500,90500,90500,90500,74000,90500,74000,74000,74000,60500,60500,60500,60500
Wienerschnitzel,18100,22200,18100,18100,22200,18100,18100,18100,18100,22200,22200,22200,22200,27100,27100,27100,27100,27100,33100,33100,27100,27100,49500,110000
Woolrich,27100,22200,18100,18100,22200,33100,49500,74000,135000,110000,74000,40500,33100,22200,18100,18100,22200,27100,40500,74000,110000,110000,74000,40500
TiVo,110000,90500,90500,90500,90500,110000,110000,110000,110000,110000,110000,90500,90500,90500,90500,90500,90500,90500,110000,135000,135000,135000,135000,110000
Tupperware,135000,135000,135000,135000,135000,165000,135000,135000,165000,135000,165000,135000,165000,165000,165000,165000,165000,165000,165000,165000,165000,135000,165000,165000
Visa,165000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,135000,110000,110000
Whirlpool,165000,135000,135000,135000,165000,135000,135000,135000,165000,135000,165000,135000,165000,135000,165000,165000,165000,165000,165000,165000,165000,135000,165000,165000
Tesla Motors,165000,110000,110000,90500,90500,90500,90500,110000,74000,74000,90500,74000,74000,90500,90500,74000,74000,90500,90500,74000,74000,74000,74000,90500
Transamerica,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,135000,135000,165000,165000,135000,135000,165000,165000,165000,165000,135000,135000,165000,165000
Venus Swimwear,90500,90500,90500,74000,60500,40500,27100,18100,18100,18100,33100,49500,90500,90500,110000,90500,74000,40500,33100,27100,18100,22200,90500,165000
VMware,165000,135000,135000,135000,135000,135000,165000,165000,135000,135000,135000,135000,165000,135000,135000,135000,135000,165000,165000,201000,135000,135000,165000,165000
White Castle,135000,135000,165000,165000,165000,165000,135000,165000,165000,201000,201000,165000,165000,201000,201000,201000,201000,201000,165000,165000,201000,201000,201000,201000
Travelers Insurance,135000,135000,135000,135000,165000,165000,135000,165000,135000,135000,165000,165000,165000,165000,165000,201000,201000,201000,165000,165000,135000,165000,165000,165000
Vizio,135000,110000,110000,110000,110000,135000,135000,110000,201000,201000,165000,110000,110000,110000,90500,110000,110000,110000,110000,110000,201000,165000,135000,135000
Vonage,246000,246000,246000,246000,246000,246000,246000,246000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,165000,201000,201000,165000
Windstream,246000,246000,246000,246000,246000,246000,246000,246000,201000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,201000,246000,246000,246000
Wyndham,135000,135000,135000,165000,165000,165000,135000,110000,90500,110000,135000,135000,165000,135000,135000,165000,201000,246000,165000,135000,135000,135000,165000,201000
ULTA Beauty,49500,49500,49500,49500,49500,49500,49500,60500,74000,110000,74000,74000,90500,90500,110000,90500,110000,110000,135000,110000,165000,246000,135000,135000
Zaxbys,74000,74000,74000,74000,74000,74000,90500,90500,90500,90500,110000,90500,110000,110000,110000,110000,135000,135000,135000,135000,110000,135000,165000,246000
Zynga,301000,301000,301000,301000,301000,246000,246000,201000,201000,165000,165000,165000,165000,165000,135000,110000,110000,110000,110000,110000,110000,110000,110000,110000
Wawa,135000,165000,165000,165000,201000,165000,165000,165000,165000,165000,165000,165000,201000,246000,201000,246000,246000,246000,246000,246000,246000,301000,246000,246000
TIAA CREF,301000,301000,246000,301000,301000,246000,246000,301000,246000,246000,301000,246000,301000,301000,246000,246000,246000,301000,246000,246000,246000,201000,301000,246000
Union Bank,368000,368000,368000,301000,368000,368000,368000,368000,301000,301000,301000,301000,301000,301000,301000,301000,368000,368000,301000,368000,301000,368000,368000,368000
Trader Joes,301000,246000,301000,301000,301000,301000,301000,301000,301000,301000,301000,246000,301000,301000,301000,301000,301000,368000,368000,368000,368000,368000,368000,368000
Thor,450000,368000,301000,246000,450000,246000,201000,301000,246000,301000,301000,301000,246000,301000,450000,301000,301000,246000,301000,301000,246000,246000,246000,301000
Waste Management,368000,368000,368000,368000,368000,368000,368000,368000,301000,368000,450000,368000,450000,450000,450000,450000,450000,450000,450000,450000,368000,450000,450000,450000
Time Warner,368000,301000,246000,301000,301000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,450000,450000,450000,450000,450000,450000,450000
Whataburger,246000,201000,246000,246000,246000,246000,246000,246000,246000,301000,301000,246000,301000,368000,368000,368000,450000,450000,368000,368000,368000,450000,368000,368000
Xcel Energy,301000,301000,301000,301000,301000,301000,301000,301000,246000,301000,301000,301000,301000,368000,368000,368000,450000,368000,368000,368000,301000,301000,368000,301000
Talbots,450000,450000,450000,368000,368000,450000,450000,450000,550000,550000,450000,368000,450000,450000,550000,450000,450000,450000,368000,450000,550000,550000,450000,368000
Wendys,368000,368000,368000,450000,450000,368000,368000,368000,368000,368000,450000,368000,450000,550000,450000,550000,550000,550000,550000,550000,550000,673000,550000,673000
Victorias Secret,301000,301000,301000,368000,301000,301000,246000,246000,450000,550000,368000,368000,368000,301000,301000,368000,368000,301000,301000,301000,550000,673000,450000,368000
Waffle House,368000,368000,368000,368000,368000,368000,368000,368000,450000,450000,450000,550000,550000,450000,550000,450000,550000,550000,450000,550000,550000,673000,550000,550000
Tiffany,450000,450000,450000,368000,368000,450000,450000,450000,550000,823000,450000,450000,368000,368000,368000,368000,368000,368000,301000,368000,450000,550000,368000,368000
TD Ameritrade,823000,823000,550000,550000,550000,550000,550000,673000,550000,673000,673000,673000,673000,673000,550000,550000,550000,673000,550000,550000,550000,550000,673000,550000
Universal Studios,673000,673000,550000,673000,673000,550000,450000,550000,368000,450000,450000,550000,673000,673000,673000,823000,1000000,823000,673000,673000,550000,673000,673000,673000
U Haul,673000,673000,823000,823000,823000,823000,550000,673000,550000,550000,673000,550000,673000,823000,1000000,1000000,823000,1000000,673000,673000,550000,450000,450000,368000
Disney,1220000,1000000,1220000,1000000,1000000,1000000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,823000,1000000,1000000,1000000,1000000,1000000
Whole Foods,1000000,1000000,1000000,1000000,1000000,823000,823000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1000000,1000000
Zumiez,673000,673000,673000,673000,823000,1000000,673000,673000,1000000,1220000,673000,673000,673000,673000,673000,673000,823000,1000000,673000,673000,1000000,1220000,673000,673000
Under Armour,1000000,823000,823000,673000,823000,1000000,1000000,1000000,1500000,1500000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1000000,1220000,1500000,1500000,1220000,1000000
Vanguard,1220000,1220000,1000000,1000000,1220000,1000000,1000000,1220000,1220000,1220000,1500000,1220000,1500000,1220000,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1220000,1220000
North Face,368000,246000,165000,135000,246000,368000,450000,673000,1500000,1500000,823000,673000,368000,201000,165000,165000,246000,368000,450000,1000000,1500000,1220000,823000,550000
Williams Sonoma,550000,550000,550000,550000,550000,550000,550000,550000,1000000,1500000,673000,550000,550000,450000,368000,450000,450000,450000,450000,550000,1000000,1500000,673000,450000
Western Union,1220000,1220000,1220000,1220000,1500000,1500000,1220000,1220000,1220000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1830000,1830000,1500000,1830000,1500000,1830000,1500000,1830000
Uber,550000,550000,673000,1000000,1000000,1000000,1000000,1220000,1500000,1500000,1220000,1220000,1500000,1830000,1830000,2240000,2240000,2240000,2240000,2240000,2240000,2740000,2740000,2740000
Urban Outfitters,2240000,1830000,1830000,1830000,2240000,2240000,2240000,1830000,2240000,2740000,2240000,1830000,2240000,1830000,1830000,2240000,2240000,2240000,2240000,2240000,2740000,2740000,2240000,2240000
USAA,2740000,2740000,2240000,2240000,2740000,2740000,2240000,2240000,2240000,2240000,2240000,2240000,2740000,2240000,2240000,2240000,2740000,2740000,2240000,2240000,2240000,2240000,2740000,2240000
Zappos,2740000,2740000,2740000,2240000,2240000,2740000,2240000,2740000,2740000,3350000,2240000,1830000,2240000,2240000,2240000,1830000,1830000,2240000,2240000,2240000,2240000,2240000,1830000,1830000
US Airways,3350000,3350000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,3350000,3350000,2740000,2240000,2240000,2240000,2240000,1830000,1500000,823000,301000,246000,246000,201000
WWE,2240000,3350000,2240000,2740000,2240000,2740000,2240000,2240000,2740000,2240000,3350000,2740000,3350000,2740000,2740000,2740000,2740000,3350000,3350000,3350000,3350000,4090000,4090000,4090000
Yelp,3350000,3350000,3350000,3350000,4090000,4090000,3350000,3350000,3350000,2740000,3350000,3350000,3350000,3350000,3350000,4090000,4090000,4090000,4090000,4090000,3350000,3350000,3350000,3350000
United Airlines,5000000,5000000,5000000,5000000,5000000,5000000,5000000,4090000,4090000,4090000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,4090000,4090000,5000000,5000000
UPS,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,4090000,3350000,2740000,3350000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,3350000,5000000,3350000,2740000
Verizon,5000000,4090000,4090000,4090000,4090000,3350000,4090000,3350000,3350000,3350000,3350000,2740000,3350000,4090000,5000000,6120000,6120000,7480000,7480000,6120000,6120000,6120000,6120000,5000000
Walgreens,4090000,4090000,5000000,4090000,5000000,5000000,5000000,5000000,5000000,7480000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,6120000,5000000,5000000,5000000,9140000,6120000,5000000
Twitter,13600000,13600000,13600000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,9140000,9140000,11100000,11100000,9140000,9140000,9140000,9140000,11100000,11100000
Toys R Us,3350000,3350000,2740000,2740000,3350000,3350000,3350000,4090000,9140000,13600000,3350000,2740000,3350000,2740000,2740000,3350000,3350000,3350000,3350000,4090000,11100000,13600000,3350000,3350000
Wells Fargo,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,20400000,16600000,16600000,16600000,16600000,20400000,20400000,20400000,20400000,16600000,16600000,16600000,20400000,16600000,16600000
Target,13600000,13600000,13600000,13600000,16600000,16600000,13600000,16600000,24900000,30400000,16600000,13600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,30400000,30400000,16600000,16600000
Walmart,24900000,24900000,24900000,24900000,30400000,30400000,24900000,30400000,45500000,45500000,30400000,24900000,30400000,24900000,30400000,30400000,30400000,30400000,30400000,30400000,45500000,45500000,30400000,24900000
Yahoo,68000000,68000000,55600000,55600000,55600000,55600000,68000000,68000000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,45500000,45500000,55600000,45500000
