Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
$BBT,823000,823000,823000,823000,823000,823000,823000,823000,673000,823000,823000,673000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000
$D,1000000,1000000,1000000,823000,823000,823000,823000,823000,823000,823000,1000000,823000,1000000,823000,823000,823000,823000,1000000,823000,823000,823000,823000,823000,823000
$V,1000000,1000000,1000000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000
$K,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,823000,823000,1000000,823000,1000000,1000000,1000000,823000,1000000,1000000,823000,823000,823000,823000,823000,823000
$MAC,450000,450000,450000,450000,450000,450000,450000,450000,550000,673000,550000,550000,673000,550000,450000,550000,673000,673000,673000,673000,823000,1000000,823000,673000
$T,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1000000,1220000,1220000,1220000,1000000,1220000,1220000,1220000,1220000,1000000,1220000,1220000,1220000
$C,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000
$GOOGL,1000000,1220000,1000000,823000,823000,823000,823000,823000,823000,823000,823000,673000,823000,673000,673000,550000,673000,673000,673000,823000,673000,673000,673000,673000
$FOX,1000000,823000,823000,823000,823000,823000,1000000,1220000,1000000,823000,1220000,1000000,1220000,823000,823000,823000,823000,1000000,1220000,1220000,1220000,1220000,1220000,1220000
$L,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1220000,1220000,1500000,1220000,1500000,1220000,1500000,1220000,1500000,1500000,1220000,1220000,1220000,1220000,1220000,1220000
$GM,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1500000,1500000,1500000,1500000,1500000,1500000
$DOW,301000,301000,246000,246000,301000,368000,301000,673000,368000,450000,550000,450000,550000,450000,368000,450000,550000,1500000,1220000,823000,550000,550000,1500000,1000000
$A,1830000,1830000,1830000,1500000,1830000,1830000,1500000,1500000,1500000,1830000,1830000,1500000,1830000,1500000,1830000,1500000,1830000,1830000,1500000,1500000,1500000,1500000,1830000,1500000
$M,1500000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
$ABC,1830000,1220000,1220000,1000000,1000000,823000,1220000,1830000,1500000,1220000,1220000,1500000,1500000,1220000,1220000,1000000,823000,823000,1220000,1500000,1500000,1220000,1220000,1220000
$PNC,1500000,1500000,1500000,1500000,1500000,1830000,1830000,1830000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
$CBS,1830000,1220000,1000000,673000,823000,823000,1500000,1500000,1500000,1220000,1220000,1000000,1220000,1000000,1000000,673000,673000,823000,1220000,1500000,1220000,1220000,1220000,1500000
$ADP,673000,673000,673000,673000,673000,673000,673000,823000,823000,823000,1220000,1000000,1000000,1000000,823000,1000000,1000000,1220000,1000000,1220000,1000000,1220000,1830000,1220000
$GOOG,2240000,2240000,2240000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1220000,1500000,1220000,1220000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1500000
$AAPL,1220000,1500000,1500000,2240000,1830000,1830000,2740000,2240000,1500000,1500000,1830000,1830000,1830000,1830000,1500000,1220000,1830000,2240000,1830000,1830000,1220000,1220000,1830000,1220000
$CVS,2240000,2240000,2740000,2240000,2740000,2740000,2740000,2740000,2740000,3350000,2740000,2240000,2740000,2740000,2740000,2740000,2740000,3350000,2740000,2740000,2740000,3350000,2740000,2740000
$F,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,4090000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
$UPS,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,4090000,3350000,2740000,3350000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,3350000,5000000,3350000,2740000
$FB,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,6120000,7480000,7480000,6120000,7480000,7480000,7480000,7480000,7480000
$EBAY,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,55600000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,45500000,55600000,45500000,45500000
