Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
truck rental,49500,49500,60500,74000,74000,74000,49500,49500,49500,40500,40500,49500,49500,60500,74000,74000,90500,74000,60500,49500,49500,49500,49500,49500
generators,40500,33100,33100,33100,40500,40500,60500,49500,60500,40500,49500,49500,40500,40500,40500,49500,49500,60500,60500,49500,40500,40500,40500,27100
motorcycles,40500,49500,49500,49500,49500,49500,40500,40500,33100,33100,40500,40500,49500,49500,60500,49500,60500,60500,60500,49500,49500,60500,60500,60500
freight,18100,18100,18100,18100,18100,18100,27100,22200,18100,18100,22200,18100,22200,22200,18100,22200,22200,22200,27100,27100,27100,22200,27100,27100
bauxite,12100,14800,12100,8100,6600,8100,14800,14800,12100,12100,14800,12100,12100,12100,12100,8100,9900,9900,14800,12100,12100,12100,14800,14800
women's clothing,60500,60500,49500,40500,40500,40500,49500,49500,49500,49500,49500,49500,60500,49500,49500,33100,33100,40500,40500,40500,40500,40500,40500,40500
appliances,40500,33100,33100,33100,33100,33100,33100,33100,40500,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,49500,40500,40500,49500
Biodiesel,18100,18100,14800,9900,9900,9900,12100,14800,14800,12100,12100,12100,14800,14800,12100,9900,8100,9900,12100,12100,12100,9900,9900,12100
rails,18100,18100,14800,14800,18100,18100,18100,22200,18100,18100,18100,18100,18100,18100,18100,18100,18100,22200,22200,22200,18100,18100,18100,18100
consulting,14800,14800,12100,12100,14800,14800,18100,18100,14800,14800,18100,18100,18100,18100,14800,14800,14800,14800,18100,18100,14800,14800,18100,18100
car loans,33100,33100,33100,33100,33100,33100,33100,33100,33100,27100,33100,27100,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,27100,33100
cosmetics,14800,14800,14800,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800,18100,18100,18100,18100
internet service providers,60500,60500,60500,60500,74000,74000,74000,74000,74000,74000,90500,74000,60500,49500,49500,60500,60500,60500,49500,60500,60500,60500,49500,22200
luxury cars,27100,27100,27100,22200,27100,27100,27100,27100,27100,27100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,40500,40500
pearls,27100,22200,27100,22200,22200,22200,22200,22200,27100,33100,27100,27100,27100,27100,27100,22200,22200,27100,27100,33100,27100,33100,27100,27100
mining,14800,12100,14800,8100,8100,8100,12100,14800,12100,9900,12100,12100,12100,12100,12100,8100,8100,9900,14800,14800,14800,14800,14800,14800
internet security,12100,18100,9900,8100,8100,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900
sporting goods,49500,49500,49500,49500,49500,49500,49500,40500,40500,49500,40500,40500,49500,49500,60500,60500,60500,60500,60500,49500,49500,60500,49500,49500
printing,22200,18100,18100,18100,18100,18100,18100,22200,18100,18100,22200,18100,22200,22200,22200,22200,22200,22200,27100,27100,22200,27100,27100,27100
kitchen appliances,14800,14800,14800,12100,12100,14800,12100,14800,18100,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,22200,22200,18100,18100
cutlery,9900,8100,12100,12100,9900,9900,9900,9900,12100,14800,12100,9900,9900,12100,14800,14800,12100,12100,12100,12100,18100,18100,14800,12100
iron ore,12100,9900,9900,8100,8100,8100,14800,12100,12100,12100,12100,12100,12100,14800,12100,8100,9900,12100,12100,12100,12100,9900,12100,12100
antiques,49500,40500,40500,33100,40500,40500,27100,33100,27100,27100,33100,27100,27100,27100,27100,27100,27100,33100,27100,27100,27100,27100,33100,33100
motels,40500,33100,40500,40500,49500,40500,33100,33100,27100,33100,40500,49500,40500,40500,49500,49500,60500,60500,49500,49500,40500,40500,40500,49500
footwear,9900,8100,9900,8100,9900,12100,9900,9900,12100,12100,9900,9900,9900,9900,9900,9900,12100,12100,9900,9900,12100,14800,9900,9900
computer hardware,8100,8100,6600,5400,5400,9900,12100,9900,8100,6600,9900,8100,8100,6600,6600,6600,5400,9900,12100,8100,6600,6600,8100,8100
men's clothing,22200,18100,18100,18100,18100,22200,22200,27100,33100,40500,22200,27100,27100,22200,22200,22200,18100,22200,22200,27100,27100,22200,22200,22200
fertilizer,22200,27100,27100,18100,14800,14800,18100,18100,14800,12100,14800,14800,27100,33100,33100,22200,22200,22200,27100,22200,18100,14800,18100,22200
hair accessories,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,18100,18100,18100,14800,18100,18100,18100,14800,18100,18100,18100,18100
travel agents,12100,9900,8100,8100,8100,6600,8100,8100,8100,8100,14800,12100,9900,8100,8100,8100,8100,8100,6600,6600,5400,6600,9900,9900
market research,12100,12100,9900,9900,9900,8100,12100,14800,12100,9900,12100,12100,12100,12100,9900,9900,9900,8100,12100,12100,9900,9900,12100,12100
servers,14800,14800,12100,12100,12100,12100,12100,14800,12100,12100,12100,12100,14800,12100,12100,14800,14800,14800,14800,14800,14800,18100,18100,18100
medical supplies,33100,33100,33100,33100,33100,33100,33100,40500,33100,33100,40500,33100,40500,33100,33100,33100,33100,40500,40500,40500,33100,40500,49500,60500
roofing,22200,27100,27100,22200,22200,22200,22200,22200,18100,18100,22200,22200,27100,27100,22200,22200,22200,22200,22200,27100,22200,22200,27100,27100
baby food,18100,14800,18100,14800,14800,14800,14800,18100,18100,14800,18100,18100,22200,22200,22200,18100,18100,18100,18100,22200,22200,18100,22200,22200
equipment rental,33100,40500,40500,40500,33100,33100,33100,33100,27100,22200,27100,27100,49500,49500,49500,40500,49500,49500,49500,49500,33100,33100,33100,40500
child care,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,22200,18100,22200,22200,22200,18100,22200,22200,22200,22200,18100,18100,22200,22200
Gas Stations,60500,74000,40500,74000,74000,60500,27100,27100,22200,27100,27100,27100,33100,40500,49500,40500,40500,49500,40500,33100,33100,33100,40500,27100
recreation,18100,18100,18100,14800,14800,14800,18100,18100,14800,14800,18100,18100,18100,18100,14800,12100,18100,18100,18100,18100,18100,18100,22200,22200
telecommunications,18100,18100,18100,14800,14800,14800,18100,18100,18100,14800,18100,18100,22200,22200,18100,18100,18100,18100,22200,22200,22200,18100,22200,22200
gyms,22200,22200,27100,22200,22200,18100,18100,18100,18100,22200,33100,22200,27100,22200,27100,27100,27100,27100,27100,22200,27100,27100,40500,33100
energy drinks,22200,22200,18100,14800,14800,12100,18100,22200,18100,14800,18100,18100,22200,22200,18100,14800,14800,14800,18100,18100,18100,14800,18100,22200
pet supplies,27100,22200,22200,22200,27100,27100,22200,22200,27100,27100,27100,22200,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100
computer programming,18100,14800,14800,12100,12100,14800,18100,14800,14800,14800,18100,14800,18100,18100,18100,14800,14800,18100,18100,18100,14800,14800,18100,14800
nuclear power,18100,22200,22200,8100,5400,5400,12100,18100,18100,14800,14800,14800,18100,18100,18100,8100,6600,6600,9900,14800,18100,14800,12100,14800
metals,8100,8100,8100,6600,5400,5400,14800,14800,12100,9900,12100,9900,9900,9900,9900,6600,5400,8100,14800,18100,14800,12100,12100,12100
casinos,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,18100,18100,14800,18100,14800,18100,22200,22200,18100,18100,22200,27100,27100
smart phones,12100,9900,12100,12100,12100,14800,14800,14800,14800,14800,9900,9900,9900,9900,9900,9900,9900,12100,9900,9900,12100,12100,9900,9900
textiles,12100,12100,9900,6600,6600,6600,12100,12100,12100,9900,12100,12100,14800,12100,12100,8100,6600,8100,9900,12100,12100,9900,12100,14800
hedge funds,8100,8100,8100,8100,8100,8100,9900,9900,8100,8100,9900,9900,9900,9900,8100,9900,9900,12100,14800,12100,9900,9900,12100,14800
wealth management,9900,9900,8100,9900,9900,9900,9900,12100,9900,9900,12100,12100,12100,9900,9900,9900,9900,9900,9900,12100,9900,9900,14800,12100
red meat,9900,8100,8100,9900,8100,8100,8100,8100,8100,8100,12100,9900,9900,9900,9900,9900,9900,9900,9900,33100,14800,9900,14800,14800
polymers,8100,8100,9900,5400,3600,5400,14800,12100,8100,8100,9900,9900,9900,9900,8100,5400,4400,5400,14800,12100,9900,8100,9900,12100
vending machines,22200,22200,22200,22200,22200,18100,22200,22200,18100,14800,18100,18100,18100,18100,18100,14800,18100,18100,18100,22200,18100,14800,22200,22200
aerospace,12100,12100,12100,9900,9900,12100,14800,12100,12100,9900,12100,12100,14800,14800,14800,12100,12100,14800,14800,14800,14800,12100,14800,14800
thermal,8100,8100,6600,4400,4400,5400,9900,12100,14800,12100,12100,9900,9900,9900,8100,6600,5400,8100,9900,14800,18100,14800,18100,14800
resorts,12100,9900,9900,12100,12100,12100,9900,9900,8100,8100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,9900,14800,14800
bottled water,14800,14800,14800,12100,12100,14800,12100,14800,12100,12100,14800,14800,18100,18100,18100,22200,18100,18100,14800,18100,14800,14800,22200,22200
fruits and vegetables,12100,12100,9900,6600,6600,6600,8100,9900,9900,8100,9900,9900,12100,12100,9900,8100,8100,8100,9900,12100,12100,8100,12100,12100
golf courses,22200,33100,33100,33100,27100,27100,22200,14800,9900,9900,12100,12100,18100,27100,27100,27100,33100,33100,22200,14800,9900,12100,12100,14800
department stores,27100,22200,22200,18100,18100,18100,22200,22200,27100,27100,22200,22200,22200,22200,22200,18100,18100,22200,22200,22200,27100,33100,22200,22200
liquor stores,18100,14800,18100,18100,22200,22200,18100,18100,22200,27100,18100,18100,18100,18100,22200,22200,33100,27100,27100,27100,27100,40500,27100,22200
communications,12100,9900,9900,9900,9900,9900,12100,12100,12100,9900,12100,9900,12100,12100,9900,9900,9900,12100,12100,12100,12100,9900,12100,12100
uniforms,18100,18100,14800,14800,18100,22200,18100,18100,14800,12100,18100,14800,18100,18100,14800,14800,22200,27100,18100,18100,14800,12100,18100,18100
photovoltaic,9900,12100,12100,8100,6600,6600,9900,9900,9900,8100,9900,9900,9900,12100,9900,6600,6600,6600,8100,9900,9900,9900,9900,9900
chemicals,8100,8100,8100,5400,5400,8100,12100,9900,8100,6600,8100,8100,8100,8100,8100,6600,5400,9900,12100,9900,9900,8100,9900,9900
laptop computers,14800,14800,12100,12100,12100,14800,14800,18100,27100,33100,22200,18100,18100,14800,14800,18100,18100,22200,22200,22200,33100,33100,27100,27100
chewing tobacco,18100,18100,18100,18100,14800,14800,14800,18100,18100,14800,14800,14800,18100,18100,18100,14800,14800,18100,14800,18100,18100,14800,18100,14800
alternative medicine,12100,12100,9900,8100,8100,8100,9900,12100,12100,9900,12100,12100,12100,12100,9900,8100,9900,9900,9900,12100,12100,9900,12100,12100
hospitals,14800,14800,14800,14800,14800,14800,18100,14800,14800,14800,14800,14800,18100,14800,14800,14800,14800,18100,18100,18100,14800,14800,18100,18100
health food stores,22200,18100,14800,18100,18100,18100,14800,14800,14800,14800,22200,18100,18100,18100,14800,14800,18100,18100,18100,14800,14800,14800,22200,18100
yachts,12100,9900,12100,12100,14800,12100,9900,9900,8100,9900,12100,9900,9900,9900,12100,12100,14800,12100,9900,8100,8100,9900,14800,9900
rare earth,8100,8100,8100,8100,8100,8100,6600,8100,8100,8100,8100,9900,27100,9900,9900,9900,14800,9900,9900,8100,6600,8100,9900,9900
museums,12100,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,14800,14800
adult entertainment,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,12100,12100,12100,14800,12100,14800,14800,14800,14800,12100,12100,14800,14800
medical equipment,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100
florists,12100,14800,18100,9900,8100,9900,9900,12100,9900,9900,9900,18100,12100,14800,18100,9900,9900,9900,9900,9900,9900,9900,9900,18100
amusement parks,22200,22200,33100,33100,33100,22200,14800,12100,8100,6600,8100,9900,14800,18100,22200,22200,22200,18100,12100,12100,12100,12100,18100,27100
Hydropower,14800,14800,14800,5400,1900,1900,5400,9900,12100,12100,12100,12100,14800,14800,14800,5400,2900,2900,5400,9900,12100,12100,12100,12100
ball bearings,12100,9900,9900,9900,9900,9900,9900,12100,9900,9900,12100,9900,12100,12100,12100,9900,12100,12100,9900,9900,12100,12100,12100,12100
prosthetics,18100,22200,18100,14800,14800,14800,14800,18100,14800,12100,14800,14800,14800,12100,8100,8100,6600,8100,9900,9900,9900,8100,9900,9900
cybersecurity,5400,5400,4400,4400,4400,4400,5400,8100,5400,6600,9900,9900,9900,9900,8100,8100,8100,9900,9900,12100,12100,14800,14800,18100
credit unions,14800,14800,14800,12100,14800,12100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
artificial sweeteners,14800,12100,9900,9900,9900,8100,22200,14800,12100,9900,12100,9900,12100,12100,9900,9900,9900,9900,9900,9900,9900,8100,12100,12100
internet services,9900,9900,8100,9900,12100,12100,12100,9900,9900,9900,12100,12100,12100,9900,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100
airports,8100,6600,6600,6600,6600,5400,6600,6600,5400,6600,6600,6600,8100,6600,8100,6600,8100,8100,8100,8100,8100,8100,12100,9900
trucking,6600,6600,6600,6600,6600,6600,8100,8100,6600,6600,8100,6600,8100,6600,6600,6600,6600,8100,9900,9900,9900,9900,12100,9900
cleaning supplies,8100,8100,60500,74000,60500,90500,60500,8100,6600,6600,8100,6600,8100,8100,8100,8100,8100,9900,9900,9900,9900,9900,12100,12100
charter bus,12100,12100,14800,8100,8100,6600,9900,9900,9900,6600,9900,9900,14800,14800,18100,9900,9900,8100,12100,12100,12100,8100,12100,14800
nurseries,6600,9900,14800,8100,6600,6600,5400,5400,3600,3600,4400,5400,8100,12100,14800,9900,8100,6600,6600,6600,5400,4400,5400,6600
ski resorts,3600,1600,1300,1300,1900,2900,4400,5400,9900,14800,14800,9900,5400,1900,1900,2400,2900,4400,5400,8100,14800,22200,27100,12100
cable providers,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,14800,14800,12100,12100,9900,12100,12100
breweries,4400,4400,4400,5400,5400,6600,6600,5400,5400,4400,5400,5400,6600,6600,6600,8100,9900,9900,8100,8100,8100,9900,12100,12100
managed care,9900,9900,8100,8100,8100,8100,12100,12100,9900,8100,9900,9900,9900,9900,8100,8100,8100,8100,12100,12100,9900,8100,8100,9900
tax services,12100,9900,2900,2900,3600,3600,3600,4400,4400,6600,22200,27100,14800,12100,3600,3600,4400,4400,4400,4400,4400,6600,22200,27100
