Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
Flowserve,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,9900,12100,12100,12100,12100,12100,9900,8100,12100,12100
Dentsply,8100,9900,8100,8100,9900,8100,8100,9900,8100,8100,8100,8100,9900,9900,8100,9900,12100,9900,12100,9900,9900,8100,9900,12100
Cisco Systems,12100,12100,12100,9900,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,12100
Carlyle,9900,9900,9900,8100,8100,8100,9900,9900,9900,12100,12100,9900,12100,12100,9900,12100,12100,9900,9900,9900,9900,9900,9900,9900
Cabot,8100,9900,9900,8100,8100,9900,12100,9900,8100,8100,8100,8100,8100,9900,9900,8100,8100,9900,12100,12100,9900,9900,9900,9900
Brown Forman,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,9900,12100,12100,9900,12100,12100,12100,12100,12100,9900,9900,12100,12100
Edwards Lifesciences,9900,12100,9900,9900,9900,8100,9900,12100,9900,8100,12100,12100,12100,12100,9900,9900,12100,12100,12100,12100,9900,9900,12100,12100
Archer Daniels Midland,9900,9900,8100,9900,9900,8100,12100,9900,9900,9900,9900,12100,9900,9900,9900,9900,9900,8100,12100,9900,9900,9900,9900,9900
Emerson Electric,6600,6600,6600,6600,6600,8100,8100,8100,9900,8100,8100,8100,8100,8100,8100,8100,9900,8100,8100,8100,9900,9900,12100,12100
Cirrus Aircraft,8100,6600,8100,6600,8100,8100,8100,8100,6600,6600,12100,8100,8100,6600,9900,8100,9900,9900,8100,8100,9900,6600,8100,8100
